p = 12; number of cycles = 10000; data structure = Apache Data Sketches Java HLL4
true distinct count; minimum memory size; average memory size; maximum memory size; minimum serialization size; average serialization size; maximum serialization size; relative distinct count estimation bias; relative distinct count estimation rmse; estimated memory MVP; estimated serialization MVP
260; 2264; 2264.0; 2264; 1048; 1051.9992; 1052; -1.25997824957879E-7; 5.4387605682295625E-5; 5.357550703835927E-5; 2.489460713071922E-5
273; 2264; 2264.0; 2264; 1100; 1103.9992; 1104; -5.708189041905869E-8; 5.179761549708393E-5; 4.859436869408007E-5; 2.3696176750339853E-5
286; 2264; 2264.0; 2264; 1152; 1155.9992; 1156; 8.504043256607475E-9; 4.944315233002495E-5; 4.427705365692189E-5; 2.2607879242826314E-5
300; 2264; 2264.0; 2264; 1208; 1211.9992; 1212; 7.590750948459875E-8; 4.713586892254376E-5; 4.0241062999075415E-5; 2.1542462969094083E-5
314; 2264; 2264.0; 2264; 1264; 1267.9992; 1268; 1.4040093736580738E-7; 4.503443326727006E-5; 3.6732950454802474E-5; 2.0573035243078256E-5
329; 2264; 2264.0; 2264; 1324; 1327.9992; 1328; 2.0669384786150462E-7; 4.2981482938074745E-5; 3.346025144207046E-5; 1.962684944649665E-5
345; 2264; 2264.0; 2264; 1388; 1391.9992; 1392; 2.7462294430763553E-7; 4.098858811479878E-5; 3.0429325609435427E-5; 1.8709185912046656E-5
362; 2264; 2264.0; 2264; 1456; 1459.9992; 1460; 3.4406694261572753E-7; 3.9064351422829134E-5; 2.7639338575386932E-5; 1.782394532181716E-5
380; 2264; 2264.0; 2264; 1528; 1531.9992; 1532; 4.1494091865519966E-7; 3.721480797466666E-5; 2.508406828309386E-5; 1.697383946221076E-5
398; 2296; 2300.5584; 2472; 2088; 2088.1064; 2096; -8.203350633383382E-5; 0.011235674034925876; 2.323386767736995; 2.108826613306984
417; 2296; 2300.6992; 2472; 2088; 2088.1096; 2096; -6.048518425744315E-5; 0.011197013822053537; 2.307566668050962; 2.0943424990964603
437; 2296; 2300.9456; 2472; 2088; 2088.1152; 2096; -4.7834575209408726E-5; 0.011246029893831704; 2.3280634104378004; 2.112724696272267
458; 2296; 2301.104; 2472; 2088; 2088.1192; 2096; -6.206393680027148E-5; 0.011282263874355497; 2.343250618273652; 2.1263648259396724
480; 2296; 2301.2096; 2472; 2088; 2088.1216; 2096; -8.056755793303636E-5; 0.011272418607448433; 2.339270157234578; 2.122657815940329
504; 2296; 2301.4208; 2472; 2088; 2088.1268; 2096; -4.694414714325369E-5; 0.011266819691964892; 2.3371614226218407; 2.12055500780335
529; 2296; 2301.6848; 2472; 2088; 2088.1328; 2096; -4.4153021974751793E-5; 0.011244438684315005; 2.3281523582559065; 2.1121446788333094
555; 2296; 2301.9312; 2472; 2088; 2088.1388; 2096; -6.739035768945952E-5; 0.01125270513977678; 2.3318263429776867; 2.1152574245632603
582; 2296; 2302.2832; 2472; 2088; 2088.1472; 2096; -4.963568519835206E-5; 0.011286570751039504; 2.346241693585011; 2.128017101885119
611; 2296; 2302.688; 2472; 2088; 2088.1564; 2096; -2.9505903675596636E-5; 0.01124690966558258; 2.3301908822522206; 2.113096956251398
641; 2296; 2302.9168; 2472; 2088; 2088.162; 2096; -5.722814453114773E-5; 0.01126330144034091; 2.337220299486065; 2.119266581847603
673; 2296; 2303.2512; 2472; 2088; 2088.1696; 2096; -1.4597833705005862E-5; 0.011271082625394634; 2.340790574742274; 2.1222034826871443
706; 2296; 2303.4976; 2472; 2088; 2088.1752; 2096; 1.8487681301297714E-6; 0.01127360589599807; 2.342089291237103; 2.123159483277471
741; 2296; 2303.832; 2472; 2088; 2088.1832; 2096; -3.329587767991993E-5; 0.011316637650685583; 2.3603456941074765; 2.1394069639746176
778; 2296; 2304.272; 2472; 2088; 2088.1932; 2096; 7.258662708881528E-7; 0.011281711365906158; 2.3462468278622173; 2.1262319168324972
816; 2296; 2304.5008; 2472; 2088; 2088.1988; 2096; -2.9401958449038738E-5; 0.011317232513776905; 2.361279123358523; 2.139647871618149
856; 2296; 2305.064; 2472; 2088; 2088.212; 2096; -1.8687505752862976E-5; 0.011382393914227495; 2.3891322882240824; 2.1643714507957212
898; 2296; 2305.5744; 2472; 2088; 2088.224; 2096; -5.9211454761283196E-5; 0.011425162860519405; 2.4076531788489164; 2.1806796396371335
942; 2296; 2306.0848; 2472; 2088; 2088.2364; 2096; -6.208879140326653E-5; 0.011434161590193182; 2.4119811598917162; 2.184129072009885
989; 2296; 2306.5248; 2472; 2088; 2088.2468; 2096; -1.1029166919361932E-4; 0.011519303391680034; 2.4485024843760117; 2.216788424642239
1038; 2296; 2306.9472; 2472; 2088; 2088.2572; 2096; -1.335862621890773E-4; 0.011536990966103555; 2.4564772527942655; 2.2236123608654093
1089; 2296; 2307.352; 2472; 2088; 2088.268; 2100; -7.169581563968636E-5; 0.01149886165696649; 2.440695153233583; 2.2089501672275356
1143; 2296; 2307.9152; 2472; 2088; 2088.2812; 2100; -8.714150572134411E-5; 0.011501432413768423; 2.442382603152839; 2.209951939902789
1200; 2296; 2308.7248; 2472; 2088; 2088.3004; 2100; -1.5359861655075897E-6; 0.011560051539994775; 2.4682076602134995; 2.232556710140124
1260; 2296; 2309.2704; 2472; 2088; 2088.314; 2100; 9.253652983291735E-7; 0.01162419753008192; 2.496265292771244; 2.257416783503693
1323; 2296; 2309.9392; 2472; 2088; 2088.3304; 2100; -3.7313734211336104E-5; 0.011588169650347981; 2.4815339730674157; 2.243462873217384
1389; 2296; 2310.6432; 2472; 2088; 2088.3488; 2100; -9.961054149983979E-5; 0.011602098660975953; 2.4882612953975345; 2.248879225632883
1458; 2296; 2311.312; 2472; 2088; 2088.366; 2100; -1.1630004278073659E-4; 0.011637332484738437; 2.504121783136494; 2.262577614688812
1530; 2296; 2312.2624; 2472; 2088; 2088.3884; 2100; -1.7036478368582513E-4; 0.011711728384216068; 2.537284039857585; 2.2916233712677756
1606; 2296; 2312.9136; 2472; 2088; 2088.4056; 2100; -1.582349601350485E-4; 0.01178784464108178; 2.571095472339295; 2.3215264861463174
1686; 2296; 2313.688; 2472; 2088; 2088.4264; 2100; -1.8625141433784183E-4; 0.011773668572167197; 2.565773963031631; 2.3159691716548996
1770; 2296; 2314.7968; 2472; 2088; 2088.4548; 2100; -1.935621160927821E-4; 0.011852053059344851; 2.6012975651621613; 2.346941375671173
1858; 2296; 2315.5008; 2472; 2088; 2088.472; 2100; -1.8054170842554738E-4; 0.011953250411713268; 2.6467136541177565; 2.3872102996650315
1950; 2296; 2316.416; 2472; 2088; 2088.4952; 2100; -1.6804900513184688E-4; 0.012001539149613494; 2.6691958155722637; 2.4065636952441865
2047; 2296; 2317.1728; 2472; 2088; 2088.5156; 2100; -1.433208455363816E-4; 0.012091580691008146; 2.7102825300040907; 2.4428335013776326
2149; 2296; 2318.3696; 2472; 2088; 2088.5448; 2100; -1.700432722531541E-4; 0.012177178447930637; 2.7502109134938295; 2.4775767859795903
2256; 2296; 2319.1968; 2472; 2088; 2088.5656; 2100; -2.3738597115891173E-4; 0.012172937945909968; 2.7492764143457222; 2.4758761929534487
2368; 2296; 2320.1472; 2472; 2088; 2088.5908; 2100; -1.9648064958049737E-4; 0.01225298721013283; 2.786695309605461; 2.5085762601808708
